case_type,business_id,user_id,category,historical_business_count
A — Visual Top-20 Gain,iSRTaT9WngzB8JJ2YKJUig,5Nl6vX1LSbd3K1KBkOVtxQ,Cajun/Creole,4
A — Visual Top-20 Gain,iSRTaT9WngzB8JJ2YKJUig,5Nl6vX1LSbd3K1KBkOVtxQ,Restaurants,4
A — Visual Top-20 Gain,iSRTaT9WngzB8JJ2YKJUig,5Nl6vX1LSbd3K1KBkOVtxQ,Southern,2
A — Visual Top-20 Gain,iSRTaT9WngzB8JJ2YKJUig,5Nl6vX1LSbd3K1KBkOVtxQ,American (New),1
A — Visual Top-20 Gain,iSRTaT9WngzB8JJ2YKJUig,5Nl6vX1LSbd3K1KBkOVtxQ,Breakfast & Brunch,1
A — Visual Top-20 Gain,iSRTaT9WngzB8JJ2YKJUig,5Nl6vX1LSbd3K1KBkOVtxQ,Food,1
A — Visual Top-20 Gain,iSRTaT9WngzB8JJ2YKJUig,5Nl6vX1LSbd3K1KBkOVtxQ,Caterers,0
A — Visual Top-20 Gain,iSRTaT9WngzB8JJ2YKJUig,5Nl6vX1LSbd3K1KBkOVtxQ,Ethnic Food,0
A — Visual Top-20 Gain,iSRTaT9WngzB8JJ2YKJUig,5Nl6vX1LSbd3K1KBkOVtxQ,Event Planning & Services,0
A — Visual Top-20 Gain,iSRTaT9WngzB8JJ2YKJUig,5Nl6vX1LSbd3K1KBkOVtxQ,Sandwiches,0
A — Visual Top-20 Gain,iSRTaT9WngzB8JJ2YKJUig,5Nl6vX1LSbd3K1KBkOVtxQ,Soul Food,0
A — Visual Top-20 Gain,iSRTaT9WngzB8JJ2YKJUig,5Nl6vX1LSbd3K1KBkOVtxQ,Specialty Food,0
B — High-Diversity Visual Gain,ZTctPm8-lBy0iJ9dFhYhyQ,D76EFdD5F7XoIIyQmWTQhA,Restaurants,8
B — High-Diversity Visual Gain,ZTctPm8-lBy0iJ9dFhYhyQ,D76EFdD5F7XoIIyQmWTQhA,French,2
B — High-Diversity Visual Gain,ZTctPm8-lBy0iJ9dFhYhyQ,D76EFdD5F7XoIIyQmWTQhA,Seafood,2
C — Visual Counterexample,u7uFQCoHFtBKCtbWUm6yZw,1j0ef7b89BUBByKc5BNWDg,Restaurants,3
C — Visual Counterexample,u7uFQCoHFtBKCtbWUm6yZw,1j0ef7b89BUBByKc5BNWDg,American (New),1
C — Visual Counterexample,u7uFQCoHFtBKCtbWUm6yZw,1j0ef7b89BUBByKc5BNWDg,Cajun/Creole,1
C — Visual Counterexample,u7uFQCoHFtBKCtbWUm6yZw,1j0ef7b89BUBByKc5BNWDg,Seafood,1
D — Image-less Competitive Penalty,oOSMOJptLRbmEDjp0YnEPw,WZUeLyOo2Y_GnlEOLMUjpg,Nightlife,3
D — Image-less Competitive Penalty,oOSMOJptLRbmEDjp0YnEPw,WZUeLyOo2Y_GnlEOLMUjpg,Adult Entertainment,0
D — Image-less Competitive Penalty,oOSMOJptLRbmEDjp0YnEPw,WZUeLyOo2Y_GnlEOLMUjpg,Arts & Entertainment,0
D — Image-less Competitive Penalty,oOSMOJptLRbmEDjp0YnEPw,WZUeLyOo2Y_GnlEOLMUjpg,Comedy Clubs,0
D — Image-less Competitive Penalty,oOSMOJptLRbmEDjp0YnEPw,WZUeLyOo2Y_GnlEOLMUjpg,Historical Tours,0
D — Image-less Competitive Penalty,oOSMOJptLRbmEDjp0YnEPw,WZUeLyOo2Y_GnlEOLMUjpg,Hotels & Travel,0
D — Image-less Competitive Penalty,oOSMOJptLRbmEDjp0YnEPw,WZUeLyOo2Y_GnlEOLMUjpg,Tours,0
E — Sparse-User Visual Gain,oBNrLz4EDhiscSlbOl8uAw,CJ8yYeLi1qaBbxc5xezyaA,Restaurants,4
E — Sparse-User Visual Gain,oBNrLz4EDhiscSlbOl8uAw,CJ8yYeLi1qaBbxc5xezyaA,Breakfast & Brunch,2
E — Sparse-User Visual Gain,oBNrLz4EDhiscSlbOl8uAw,CJ8yYeLi1qaBbxc5xezyaA,American (Traditional),1
E — Sparse-User Visual Gain,oBNrLz4EDhiscSlbOl8uAw,CJ8yYeLi1qaBbxc5xezyaA,American (New),0
E — Sparse-User Visual Gain,oBNrLz4EDhiscSlbOl8uAw,CJ8yYeLi1qaBbxc5xezyaA,Cafes,0
