dataset,scope,filename,rows,columns,unique_users,unique_businesses,earliest_date,latest_date,file_size_mb,purpose,implication,project_use,status
Full business catalogue,General discovery,new_orleans_food_hospitality_businesses.parquet,3505,20,,3505.0,,,0.82,"Complete New Orleans food, drink, nightlife and hospitality business catalogue.",Preserves businesses with limited interaction or image evidence for search and cold-start analysis.,"Business metadata embeddings, intent-driven search, discovery and cold-start evaluation.",Final active dataset
Full photo metadata,General discovery,new_orleans_food_hospitality_photos.parquet,19456,6,,1977.0,,,1.05,All photo records linked to businesses in the full catalogue.,"Not every business has photographs, so images must remain an optional modality.","Image manifest creation, image embeddings, visual discovery and visual explanation evidence.",Final active dataset
Full raw review history,General discovery,new_orleans_food_hospitality_reviews_raw.parquet,559117,13,222493.0,3505.0,2005-03-14 18:07:51,2022-01-19 19:47:59,212.57,"Complete review text, ratings and dates linked to the full business catalogue.",Contains mixed ratings and repeated historical user-business reviews by design. It is not used directly as positive preference data.,"Review-text preparation, business understanding, sentiment evidence and explanation retrieval.",Final active dataset
Location comparison,Dataset selection,top_five_location_image_comparison.csv,5,14,,,,,0.0,Comparison of the leading candidate cities before selecting New Orleans.,Provides documented evidence for the geographic selection decision.,"Methodology, dataset-selection justification and descriptive analysis.",Final documentation dataset
Personalisation positive 5-core,Personalisation,new_orleans_positive_interactions_5core.parquet,152215,6,14991.0,2516.0,2005-04-11 00:41:51,2022-01-19 19:42:22,5.69,Unique latest four- and five-star interactions after iterative 5-core filtering.,"Supports users with sufficient preference history, but findings apply to relatively active users and well-connected businesses.","Master personalisation interaction dataset, collaborative filtering and KGRec graph edges.",Final active dataset
Personalisation training interactions,Personalisation,new_orleans_positive_train.parquet,122233,6,14991.0,2516.0,2005-04-11 00:41:51,2022-01-19 16:36:25,4.7,Earlier positive interactions for each retained user.,Contains at least three training preferences per user.,"Collaborative filtering, KGRec training and user-preference learning.",Final active dataset
Personalisation validation interactions,Personalisation,new_orleans_positive_validation.parquet,14991,6,14991.0,1966.0,2005-05-18 21:15:25,2022-01-19 19:25:48,0.93,Second-most-recent positive interaction for each retained user.,Must be used for model selection rather than final performance reporting.,"Hyperparameter selection, early stopping and model comparison.",Final active dataset
Personalisation test interactions,Personalisation,new_orleans_positive_test.parquet,14991,6,14991.0,1966.0,2005-05-18 21:38:17,2022-01-19 19:42:22,0.93,Most recent positive interaction for each retained user.,Must remain untouched during model development to preserve unbiased final evaluation.,"Final Recall@K, NDCG@K, MAP@K and other personalised-ranking evaluation.",Final active dataset
Personalisation users,Personalisation,new_orleans_personalisation_users.parquet,14991,9,14991.0,,,,0.66,User metadata for the users retained in the positive 5-core.,Represents only the personalisation experiment and not all users in the raw review history.,"Personalisation user nodes, descriptive analysis and supplementary user features.",Final active dataset
Personalisation businesses,Personalisation,new_orleans_personalisation_businesses.parquet,2516,20,,2516.0,,,0.65,Business metadata for businesses retained in the positive 5-core.,"This is a subset of the full 3,505-business discovery catalogue.","Personalisation business nodes, KGRec and collaborative-ranking experiments.",Final active dataset
