case_type,business_id,business_name,review_id,date,stars,useful,text_representativeness,text_excerpt
A — Visual Top-20 Gain,iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant,KWLQOsfaGpna5M_vU7UkGA,2015-11-10 15:36:24,4,0,0.9438793,"Pro tip: Go early (8:00 a.m.) during the weekend to avoid long lines. Totes worth it, even if you're hungover. My friend and I ate breakfast here on our way out of NOLA. I got the ham po'boy. I know, I know, it's pretty tame, but after several days of heavy Cajun cuisine, I was really looking forward to something a little more...plain. And while it was a cold cut sandwich, essentially, it was quite stellar. Great bread, great dressing, and a nice portion. My friend had the Cajun omelet with grit"
A — Visual Top-20 Gain,iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant,Mvlhm4Hh5ydmea3CD4mDfg,2015-10-21 19:06:02,4,2,0.93893486,Came to Mother's when I visited New Orleans with my friends - one of whom is a Louisiana and New Orleans native. He brought us to Mother's after a night of hard partying in the French Quarter. There was a bit of a line but it was worth the wait (we went and ordered their bloody Mary's and waited in line with them). Loved the cafeteria style of ordering and then having the waitresses bring the larger dishes to our table. Ordered the shrimp po'boy - which was delicious. Tried a little bit of every
A — Visual Top-20 Gain,iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant,cqXx2yK9e8Sn10sUwmEOOA,2017-06-11 18:35:44,5,1,0.9373858,"This place is probably a 4.5/5 stars for me... but I'm leaning towards 5 stars for that Southern hospitality! We came here around 9:30AM, and was so disappointed to find that a lot of their famous dishes aren't available until 10:30AM!! Definitely wish I would've known when I was reading those Yelp reviews! We got a Famous Ferdi Po'boy to share between my boyfriend and myself, since we couldn't order the other food. I normally isn't a fan of po'boy, but I got to admit that it was pretty good. Th"
B — High-Diversity Visual Gain,ZTctPm8-lBy0iJ9dFhYhyQ,Herbsaint,dhx_S5Mzzn1i74nMHdNW9g,2016-09-25 19:12:01,4,2,0.94453,"Herbsaint has been on a running list of NOLA restaurants that I wanted to visit for a while now. Having been to Cochon and Cochon Butcher, I knew that it was going to be good as Donald Link restaurants tend to be. We made a reservation only bout an hour before which worked out perfectly for us since we were undecided on where to go until then. My sister was in visiting from Ohio and she loves food and booze like us, so we've been trying to show her some good spots. We sat outside which was nice "
B — High-Diversity Visual Gain,ZTctPm8-lBy0iJ9dFhYhyQ,Herbsaint,--p2n6qCpGOUkdNHbfDBDg,2015-07-16 15:55:08,4,4,0.94160116,"A lovely dinner at a lovely place in NOLA. I had heard about Herbsaint on an earlier trip to NOLA but I was unable to get here so imagine my delight on this go around when they had an open reservation for my group. We arrived to what we thought was going to be a disaster. There was a large convention in town and most of the tables were huge groups of 10 and 13. The hostess just pointed us to the bar area to wait, telling us our ""table wasn't ready"". Okay. Let's see how this goes. The bartender w"
B — High-Diversity Visual Gain,ZTctPm8-lBy0iJ9dFhYhyQ,Herbsaint,b-bZ6dgCc_KyUYJv5bjpuQ,2006-09-15 16:00:33,5,0,0.94036996,"i had the ""Herbsaint Tomato and Shrimp Bisque"" and the ""Muscovy Duck Leg Confit with Dirty Rice and Citrus Gastrique"" last night. both were absolutely delicious. as for the main course -- the duck was nice and tender (and not super greasy!), the rice had the right about of seasonings, and the citrus gave the whole plate a nice kick. probably one of the best meals, if not the best meal, i've had in NO -- and believe me, there's tons of competition. they have a nice selection of cocktails and a go"
C — Visual Counterexample,u7uFQCoHFtBKCtbWUm6yZw,Emeril's ,mofgdYwLcTWvbLfzs0XJJg,2015-02-10 15:55:53,5,0,0.9605407,"What a great dining experience here overall. We could not wait to try an Emeril restaurant! We had a reservation here for Friday night at 9:00pm that we almost didn't make it to. Gladly, two out of three of us made it there after an intense day of day drinking. I wanted so many things on the menu, but my eyes were bigger than my stomach.. so I had to cut down. We started with the Charred Kale Salad - after everything we have been eating in NOLA, I think it's safe to say that we need some greens."
C — Visual Counterexample,u7uFQCoHFtBKCtbWUm6yZw,Emeril's ,sBiUa2HYP6JiQSSSJ6c6xw,2010-12-06 18:21:38,5,13,0.9561354,"I have to say I have always been at least a little bit smitten by Emeril Despite all his ""bams!"", which are annoying, I've always found him charming and adorable...or maybe it's just that New Bedford accent and his New England ties that have drawn me in. During my previous New Orleans trip, I met a woman in a wine shop who told me she and her husband would be forever grateful to Emeril. Her husband was a waiter at one of his local restaurants when Katrina hit and damaged the restaurant so that i"
C — Visual Counterexample,u7uFQCoHFtBKCtbWUm6yZw,Emeril's ,L2wGoNZoJzDZWmDEYiVzjQ,2021-11-21 22:17:59,5,0,0.95372814,"After watching Chef Emeril on tv for years, I had to try his restaurant in the heart of NOLA. The inside is so elegant and the service is really nice, quick, and friendly. Everything came out really fast too. The wine and drink selection is nice and tbh the glass of Riesling I had was probably the best glass I've ever had. We got the bbq shrimp for appetizers and it was so good. I'm not really into bbq but the appetizer was amazing. We also got complementary appetizers that had a lobster tart, y"
D — Image-less Competitive Penalty,oOSMOJptLRbmEDjp0YnEPw,Witches Brew Tours,Hh0aTPlu4W8sX5zwQKN9UA,2020-03-23 23:52:41,5,2,0.9371304,"My friends and I recently got home from a week in New Orleans. While there we did two tours with Witches Brew. One night we did the adults only Voodoo Ghost Tour. Jennifer was our guide and she was amazing. She made the tour fun and she knew tons of interesting facts and information about the city and it's past. We learned a lot about the spooky history of the city and got to hear stories about ghosts, voodoo, vampires, and all the creepy things that have happened in the city. This tour was grea"
